field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,,
050,26,17,2002,2022,1,2,26,,,
050,26,20,2002,2022,1,0,0,,,
050,26,21,2002,2022,1,3,33,,,
050,26,22,2002,2022,1,1,6,,,
050,27,1,2002,2022,1,0,0,,,
050,27,2,2002,2022,1,1,5,,,
050,27,3,2002,2022,1,1,3,,,
050,27,5,2002,2022,1,0,0,,,
050,27,7,2002,2022,1,2,25,,,
050,27,8,2002,2022,1,2,18,,,
050,27,9,2002,2022,1,1,7,,,
050,27,10,2002,2022,1,1,4,,,
050,27,11,2002,2022,1,0,0,,,
050,27,12,2002,2022,1,1,2,,,
050,27,13,2002,2022,1,1,3,,,
050,27,14,2002,2022,1,2,16,,,
050,27,15,2002,2022,1,1,7,,,
050,27,16,2002,2022,1,2,12,,,
050,27,17,2002,2022,1,2,16,,,
050,27,18,2002,2022,1,2,12,,,
050,27,19,2002,2022,1,0,0,,,
050,27,20,2002,2022,1,0,0,,,
050,27,21,2002,2022,1,2,12,,,
050,27,22,2002,2022,1,2,22,,,
050,28,2,2002,2022,1,1,8,,,
050,28,3,2002,2022,1,0,0,,,
050,28,4,2002,2022,1,1,6,,,
050,28,5,2002,2022,1,0,0,,,
050,28,6,2002,2022,1,0,0,,,
050,28,7,2002,2022,1,1,9,,,
050,28,8,2002,2022,1,0,0,,,
050,28,9,2002,2022,1,0,0,,,
050,28,10,2002,2022,1,0,0,,,
050,28,11,2002,2022,1,1,13,,,
050,28,12,2002,2022,1,0,0,,,
050,28,13,2002,2022,1,0,0,,,
050,28,14,2002,2022,1,2,0,,,
050,28,15,2002,2022,1,0,0,,,
050,28,16,2002,2022,1,1,7,,,
050,28,17,2002,2022,1,1,10,,,
050,28,18,2002,2022,1,0,0,,,
050,28,19,2002,2022,1,1,10,,,
050,28,20,2002,2022,1,2,23,,,
050,28,21,2002,2022,1,1,10,,,
050,28,22,2002,2022,1,0,0,,,
050,29,1,2002,2022,1,0,0,,,
050,29,2,2002,2022,1,1,6,,,
050,29,3,2002,2022,1,0,0,,,
050,29,4,2002,2022,1,0,0,,,
050,29,5,2002,2022,1,0,0,,,
050,29,6,2002,2022,1,1,3,,,
050,29,7,2002,2022,1,1,6,,,
050,29,8,2002,2022,1,1,0,,,
050,29,9,2002,2022,1,1,6,,,
050,29,10,2002,2022,1,3,15,,,
050,29,11,2002,2022,1,1,10,,,
050,29,12,2002,2022,1,0,0,,,
050,29,13,2002,2022,1,1,6,,,
050,29,14,2002,2022,1,2,13,,,
050,29,15,2002,2022,1,1,3,,,
050,29,16,2002,2022,1,1,5,,,
050,29,18,2002,2022,1,2,13,,,
050,29,19,2002,2022,1,1,3,,,
050,29,20,2002,2022,1,1,1,,,
050,29,21,2002,2022,1,2,10,,,
050,29,22,2002,2022,1,2,16,,,
050,30,1,2002,2022,1,0,0,,,
050,30,2,2002,2022,1,1,3,,,
050,30,3,2002,2022,1,0,0,,,
050,30,5,2002,2022,1,1,1,,,
050,30,6,2002,2022,1,2,10,,,
050,30,7,2002,2022,1,2,8,,,
050,30,8,2002,2022,1,1,2,,,
050,30,9,2002,2022,1,1,5,,,
050,30,10,2002,2022,1,2,17,,,
050,30,11,2002,2022,1,1,1,,,
050,30,12,2002,2022,1,2,18,,,
050,30,13,2002,2022,1,1,8,,,
050,30,14,2002,2022,1,2,10,,,
050,30,16,2002,2022,1,1,7,,,
050,30,17,2002,2022,1,1,8,,,
050,30,18,2002,2022,1,1,8,,,
050,30,19,2002,2022,1,2,14,,,
050,30,20,2002,2022,1,2,15,,,
050,30,21,2002,2022,1,2,30,,,
050,30,22,2002,2022,1,1,6,,,
050,31,1,2002,2022,1,0,0,,,
050,31,2,2002,2022,1,0,0,,,
050,31,3,2002,2022,1,0,0,,,
050,31,4,2002,2022,1,0,0,,,
050,31,5,2002,2022,1,1,4,,,
050,31,6,2002,2022,1,2,10,,,
050,31,7,2002,2022,1,2,8,,,
050,31,8,2002,2022,1,1,4,,,
050,31,9,2002,2022,1,1,3,,,
050,31,10,2002,2022,1,1,6,,,
050,31,11,2002,2022,1,1,4,,,
050,31,12,2002,2022,1,0,0,,,
050,31,13,2002,2022,1,2,14,,,
050,31,15,2002,2022,1,1,1,,,
050,31,16,2002,2022,1,0,0,,,
050,31,17,2002,2022,1,1,11,,,
050,31,18,2002,2022,1,0,0,,,
050,31,19,2002,2022,1,1,6,,,
050,31,20,2002,2022,1,1,5,,,
