field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,
081,23,25,2002,2022,6,2,24,,
081,24,1,2002,2022,6,0,0,,
081,24,2,2002,2022,6,1,10,,
081,24,3,2002,2022,6,0,0,,
081,24,4,2002,2022,6,1,11,,
081,24,5,2002,2022,6,0,0,,
081,24,6,2002,2022,6,0,0,,
081,24,7,2002,2022,6,0,0,,
081,24,8,2002,2022,6,1,7,,
081,24,9,2002,2022,6,0,0,,
081,24,10,2002,2022,6,0,0,,
081,24,11,2002,2022,6,0,0,,
081,24,12,2002,2022,6,0,0,,
081,24,13,2002,2022,6,1,7,,
081,24,14,2002,2022,6,0,0,,
081,24,15,2002,2022,6,1,1,,
081,24,16,2002,2022,6,1,11,,
081,24,17,2002,2022,6,1,3,,
081,24,18,2002,2022,6,1,1,,
081,24,19,2002,2022,6,1,4,,
081,24,20,2002,2022,6,0,0,,
081,24,21,2002,2022,6,0,0,,
081,24,22,2002,2022,6,1,5,,
081,24,24,2002,2022,6,1,6,,
081,24,25,2002,2022,6,2,25,,
081,25,1,2002,2022,6,1,2,,
081,25,3,2002,2022,6,1,9,,
081,25,4,2002,2022,6,0,0,,
081,25,5,2002,2022,6,0,0,,
081,25,7,2002,2022,6,0,0,,
081,25,9,2002,2022,6,2,16,,
081,25,10,2002,2022,6,0,0,,
081,25,11,2002,2022,6,1,4,,
081,25,12,2002,2022,6,0,0,,
081,25,13,2002,2022,6,1,11,,
081,25,14,2002,2022,6,1,9,,
081,25,15,2002,2022,6,1,2,,
081,25,16,2002,2022,6,2,18,,
081,25,17,2002,2022,6,1,14,,
081,25,18,2002,2022,6,0,0,,
081,25,19,2002,2022,6,0,0,,
081,25,20,2002,2022,6,0,0,,
081,25,21,2002,2022,6,1,14,,
081,25,23,2002,2022,6,0,0,,
081,25,24,2002,2022,6,2,22,,
081,25,25,2002,2022,6,2,29,,
081,26,3,2002,2022,6,1,12,,
081,26,5,2002,2022,6,0,0,,
081,26,6,2002,2022,6,1,7,,
081,26,7,2002,2022,6,1,10,,
081,26,8,2002,2022,6,1,12,,
081,26,9,2002,2022,6,0,0,,
081,26,11,2002,2022,6,2,15,,
081,26,12,2002,2022,6,0,0,,
081,26,13,2002,2022,6,0,0,,
081,26,14,2002,2022,6,1,7,,
081,26,15,2002,2022,6,1,5,,
081,26,16,2002,2022,6,2,14,,
081,26,19,2002,2022,6,1,9,,
081,26,20,2002,2022,6,1,5,,
081,26,21,2002,2022,6,1,1,,
081,26,22,2002,2022,6,1,6,,
081,26,23,2002,2022,6,1,3,,
081,26,24,2002,2022,6,1,2,,
081,26,25,2002,2022,6,1,9,,
081,27,1,2002,2022,6,1,12,,
081,27,2,2002,2022,6,1,5,,
081,27,3,2002,2022,6,1,10,,
081,27,4,2002,2022,6,2,13,,
081,27,5,2002,2022,6,0,0,,
