field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
095,16,9,2005,2022,1,2,28,
095,16,10,2005,2022,1,0,0,
095,16,11,2005,2022,1,0,0,
095,16,12,2005,2022,1,0,0,
095,16,13,2005,2022,1,2,22,
095,16,14,2005,2022,1,2,28,
095,16,16,2005,2022,1,0,0,
095,16,17,2005,2022,1,2,35,
095,16,18,2005,2022,1,4,61,
095,16,19,2005,2022,1,0,0,
095,16,21,2005,2022,1,2,30,
095,16,22,2005,2022,1,1,6,
095,16,24,2005,2022,1,0,0,
095,16,25,2005,2022,1,1,4,
095,16,26,2005,2022,1,0,0,
095,17,1,2005,2022,1,0,0,
095,17,2,2005,2022,1,0,0,
095,17,3,2005,2022,1,2,17,
095,17,4,2005,2022,1,1,2,
095,17,5,2005,2022,1,0,0,
095,17,6,2005,2022,1,2,23,
095,17,7,2005,2022,1,1,3,
095,17,8,2005,2022,1,1,4,
095,17,9,2005,2022,1,2,18,
095,17,10,2005,2022,1,4,97,
095,17,11,2005,2022,1,2,17,
095,17,12,2005,2022,1,2,13,
095,17,13,2005,2022,1,2,18,
095,17,14,2005,2022,1,2,20,
095,17,15,2005,2022,1,2,21,
095,17,16,2005,2022,1,2,22,
095,17,17,2005,2022,1,3,36,
095,17,18,2005,2022,1,4,55,
095,17,19,2005,2022,1,2,22,
095,17,20,2005,2022,1,1,3,
095,17,21,2005,2022,1,4,40,
095,17,22,2005,2022,1,1,6,
095,17,23,2005,2022,1,0,0,
095,17,24,2005,2022,1,3,32,
095,17,25,2005,2022,1,2,13,
095,17,26,2005,2022,1,1,8,
095,18,1,2005,2022,1,1,5,
095,18,2,2005,2022,1,2,14,
095,18,3,2005,2022,1,0,0,
095,18,4,2005,2022,1,2,10,
095,18,5,2005,2022,1,2,12,
095,18,6,2005,2022,1,0,0,
095,18,7,2005,2022,1,4,40,
095,18,8,2005,2022,1,2,23,
095,18,9,2005,2022,1,1,3,
095,18,10,2005,2022,1,4,43,
095,18,11,2005,2022,1,0,0,
095,18,12,2005,2022,1,3,30,
095,18,13,2005,2022,1,3,36,
095,18,14,2005,2022,1,4,48,
095,18,15,2005,2022,1,2,13,
095,18,16,2005,2022,1,4,42,
095,18,17,2005,2022,1,2,24,
095,18,18,2005,2022,1,3,30,
095,18,20,2005,2022,1,2,11,
095,18,21,2005,2022,1,2,25,
095,18,22,2005,2022,1,2,14,
095,18,23,2005,2022,1,2,19,
095,18,24,2005,2022,1,2,16,
095,18,25,2005,2022,1,0,0,
095,19,1,2005,2022,1,1,5,
095,19,2,2005,2022,1,2,18,
095,19,3,2005,2022,1,0,0,
095,19,4,2005,2022,1,2,20,
095,19,5,2005,2022,1,3,35,
095,19,6,2005,2022,1,1,7,
095,19,7,2005,2022,1,2,28,
095,19,8,2005,2022,1,3,35,
095,19,9,2005,2022,1,2,20,
095,19,10,2005,2022,1,4,40,
095,19,11,2005,2022,1,2,22,
095,19,12,2005,2022,1,2,16,
095,19,13,2005,2022,1,4,43,
095,19,14,2005,2022,1,4,40,
095,19,15,2005,2022,1,3,30,
095,19,16,2005,2022,1,2,12,
095,19,17,2005,2022,1,3,36,
095,19,18,2005,2022,1,1,1,
095,19,19,2005,2022,1,2,20,
095,19,20,2005,2022,1,1,5,
095,19,21,2005,2022,1,1,9,
095,19,22,2005,2022,1,2,10,
095,19,23,2005,2022,1,0,0,
095,19,24,2005,2022,1,0,0,
095,19,26,2005,2022,1,3,35,
095,20,1,2005,2022,1,3,34,
095,20,2,2005,2022,1,2,10,
095,20,3,2005,2022,1,1,7,
095,20,4,2005,2022,1,2,16,
095,20,5,2005,2022,1,2,20,
095,20,6,2005,2022,1,3,38,
095,20,7,2005,2022,1,0,0,
095,20,8,2005,2022,1,2,25,
095,20,9,2005,2022,1,2,25,
095,20,10,2005,2022,1,2,16,
095,20,11,2005,2022,1,4,40,
095,20,12,2005,2022,1,2,11,
095,20,13,2005,2022,1,3,30,
095,20,14,2005,2022,1,2,23,
095,20,16,2005,2022,1,2,24,
095,20,17,2005,2022,1,2,20,
095,20,18,2005,2022,1,0,0,
095,20,19,2005,2022,1,1,8,
095,20,20,2005,2022,1,3,30,
095,20,21,2005,2022,1,2,16,
095,20,22,2005,2022,1,0,0,
095,20,25,2005,2022,1,1,6,
095,21,2,2005,2022,1,1,5,
095,21,3,2005,2022,1,1,13,
095,21,5,2005,2022,1,2,26,
095,21,6,2005,2022,1,3,40,
095,21,7,2005,2022,1,2,20,
095,21,8,2005,2022,1,2,25,
095,21,9,2005,2022,1,0,0,
095,21,10,2005,2022,1,2,26,
095,21,11,2005,2022,1,2,22,
095,21,12,2005,2022,1,2,20,
095,21,13,2005,2022,1,2,24,
095,21,14,2005,2022,1,3,76,
095,21,15,2005,2022,1,0,0,
095,21,16,2005,2022,1,3,38,
095,21,17,2005,2022,1,1,4,
095,21,18,2005,2022,1,0,0,
095,21,19,2005,2022,1,2,12,
095,21,20,2005,2022,1,2,30,
095,21,21,2005,2022,1,3,31,
095,21,22,2005,2022,1,2,20,
095,21,23,2005,2022,1,3,50,
095,21,24,2005,2022,1,3,32,
095,21,25,2005,2022,1,2,25,
095,21,26,2005,2022,1,1,5,
095,22,1,2005,2022,1,3,31,
095,22,3,2005,2022,1,3,37,
095,22,5,2005,2022,1,3,34,
095,22,6,2005,2022,1,2,12,
095,22,7,2005,2022,1,2,29,
095,22,8,2005,2022,1,1,10,
095,22,9,2005,2022,1,0,0,
095,22,10,2005,2022,1,0,0,
095,22,11,2005,2022,1,1,10,
095,22,12,2005,2022,1,3,35,
095,22,13,2005,2022,1,2,26,
095,22,14,2005,2022,1,3,42,
095,22,15,2005,2022,1,2,20,
095,22,17,2005,2022,1,2,28,
095,22,18,2005,2022,1,1,8,
095,22,19,2005,2022,1,1,10,
095,22,20,2005,2022,1,3,33,
095,22,21,2005,2022,1,3,32,
095,22,22,2005,2022,1,0,0,
095,22,23,2005,2022,1,3,41,
095,22,24,2005,2022,1,3,42,
095,22,25,2005,2022,1,2,26,
095,23,1,2005,2022,1,0,0,
095,23,2,2005,2022,1,0,0,
095,23,3,2005,2022,1,0,0,
095,23,4,2005,2022,1,0,0,
095,23,5,2005,2022,1,1,2,
095,23,7,2005,2022,1,1,5,
095,23,8,2005,2022,1,1,9,
095,23,9,2005,2022,1,3,41,
095,23,11,2005,2022,1,0,0,
095,23,12,2005,2022,1,0,0,
095,23,13,2005,2022,1,0,0,
095,23,14,2005,2022,1,1,7,
095,23,15,2005,2022,1,1,8,
095,23,16,2005,2022,1,3,32,
095,23,17,2005,2022,1,1,11,
095,23,19,2005,2022,1,3,30,
095,23,20,2005,2022,1,0,0,
095,23,21,2005,2022,1,1,6,
095,23,22,2005,2022,1,1,7,
095,23,23,2005,2022,1,0,0,
095,23,24,2005,2022,1,2,16,
095,23,25,2005,2022,1,0,0,
095,23,26,2005,2022,1,0,0,
095,24,1,2005,2022,1,1,9,
095,24,2,2005,2022,1,1,8,
095,24,3,2005,2022,1,0,0,
