Plot,Yplant,Subplot,Line,Tree
52,1997,1,23,19
52,1997,1,23,20
52,1997,1,23,21
52,1997,2,31,18
52,1997,2,31,17
52,1997,2,31,19
52,1997,2,30,17
52,1997,2,30,18
52,1997,2,30,19
52,1997,2,32,17
52,1997,2,32,18
52,1997,2,32,19
52,1997,3,31,13
52,1997,3,31,12
52,1997,3,31,14
52,1997,3,30,12
52,1997,3,30,13
52,1997,3,30,14
52,1997,3,32,12
52,1997,3,32,13
52,1997,3,32,14
52,1997,4,37,6
52,1997,4,37,5
52,1997,4,37,7
52,1997,4,36,5
52,1997,4,36,6
52,1997,4,36,7
52,1997,4,38,5
52,1997,4,38,6
52,1997,4,38,7
52,1997,5,38,11
52,1997,5,38,10
52,1997,5,38,12
52,1997,5,37,10
52,1997,5,37,11
52,1997,5,37,12
52,1997,5,39,10
52,1997,5,39,11
52,1997,5,39,12
52,1997,6,43,6
52,1997,6,43,5
52,1997,6,43,7
52,1997,6,42,5
52,1997,6,42,6
52,1997,6,42,7
52,1997,6,44,5
52,1997,6,44,6
52,1997,6,44,7
81,2002,1,49,17
81,2002,1,49,16
81,2002,1,49,18
81,2002,1,48,16
81,2002,1,48,17
81,2002,1,48,18
81,2002,1,50,16
81,2002,1,50,17
81,2002,1,50,18
81,2002,2,45,12
81,2002,2,45,11
81,2002,2,45,13
81,2002,2,44,11
81,2002,2,44,12
81,2002,2,44,13
81,2002,2,46,11
81,2002,2,46,12
81,2002,2,46,13
81,2002,3,44,16
81,2002,3,44,15
81,2002,3,44,17
81,2002,3,43,15
81,2002,3,43,16
81,2002,3,43,17
81,2002,3,45,15
81,2002,3,45,16
81,2002,3,45,17
81,2002,4,42,12
81,2002,4,42,11
81,2002,4,42,13
81,2002,4,41,11
81,2002,4,41,12
81,2002,4,41,13
81,2002,4,43,11
81,2002,4,43,12
81,2002,4,43,13
81,2002,5,40,12
81,2002,5,40,11
81,2002,5,40,13
81,2002,5,39,11
81,2002,5,39,12
81,2002,5,39,13
81,2002,5,41,11
81,2002,5,41,12
81,2002,5,41,13
81,2002,6,35,5
81,2002,6,35,4
81,2002,6,35,6
81,2002,6,34,4
81,2002,6,34,5
81,2002,6,34,6
81,2002,6,36,4
81,2002,6,36,5
81,2002,6,36,6
83,1997,1,41,18
83,1997,1,41,17
83,1997,1,41,19
83,1997,1,40,17
83,1997,1,40,18
83,1997,1,40,19
83,1997,1,42,17
83,1997,1,42,18
83,1997,1,42,19
83,1997,2,47,17
83,1997,2,47,16
83,1997,2,47,18
83,1997,2,46,16
83,1997,2,46,17
83,1997,2,46,18
83,1997,2,48,16
83,1997,2,48,17
83,1997,2,48,18
83,1997,3,49,13
83,1997,3,49,12
83,1997,3,49,14
83,1997,3,48,12
83,1997,3,48,13
83,1997,3,48,14
83,1997,3,50,12
83,1997,3,50,13
83,1997,3,50,14
83,1997,4,56,4
83,1997,4,56,3
83,1997,4,56,5
83,1997,4,55,3
83,1997,4,55,4
83,1997,4,55,5
83,1997,4,57,3
83,1997,4,57,4
83,1997,4,57,5
83,1997,5,56,9
83,1997,5,56,8
83,1997,5,56,10
83,1997,5,55,8
83,1997,5,55,9
83,1997,5,55,10
83,1997,5,57,8
83,1997,5,57,9
83,1997,5,57,10
